name,comments,startLine,endLine
resolve,"// rootDir must be an absolute path and relativeFilename must be simple,// (e.g.: foo/bar or ../foo/bar, but never ./foo or foo/../bar)",20,24
getPlatformExtension,// Extract platform extension: index.ios.js -> ios,10,26
isWatchmanInstalled,,10,17
sha1hex,,26,28
worker,,30,106
getSha1,,108,119
assertionErrorMessage,,90,146
buildHintString,,148,150
each,,10,38
installErrorOnPrivate,,40,75
set,,60,65
throwAtFunction,,77,82
messageFormatter,,10,33
stackFormatter,,35,59
expectationResultFactory,,70,96
jasmine2,,27,206
wrapIt,,53,72
isError,,9,25
jasmineEnv,,52,712
findFocusedAncestor,,477,486
unfocusAncestor,,488,498
specResultCallback,,538,542
specStarted,,544,548
validateAfterAllExceptions,,78,82
storeSuite,,113,116
dispatch,,81,91
complete,,208,215
isAfterAll,,220,222
isFailure,,224,226
createSpy,,40,77
isSpy,,41,52
promisifyLifeCycleFunction,,28,100
promisifyIt,"// Similar to promisifyLifeCycleFunction but throws an error,// when the return value is neither a Promise nor `undefined`",104,190
makeConcurrent,,192,252
jasmineAsyncInstall,,254,279
jestExpectAdapter,,13,43
pTimeout,"/**
 * Copyright (c) Meta Platforms, Inc. and affiliates.
 *
 * This source code is licensed under the MIT license found in the
 * LICENSE file in the root directory of this source tree.
 */,// A specialized version of `p-timeout` that does not touch globals.,// It does not throw on timeout.",9,29
queueRunner,,33,98
setupJestGlobals,,92,120
getNodeWithoutChildrenHandler,,30,34
hasNoEnabledTest,,36,42
treeProcessor,,44,87
isEnabled,,48,50
getNodeHandler,,52,57
getNodeWithChildrenHandler,,59,70
wrapChildren,,72,83
Evil,,69,69
toJSON,,75,77
deepCyclicCopyReplaceable,,40,59
deepCyclicCopyObject,,61,118
deepCyclicCopyArray,,120,134
deepCyclicCopyMap,,136,149
getSerializableProperties,,151,170
printWithType,,142,154
replaceMatchedToAsymmetricMatcher,,413,425
_replaceMatchedToAsymmetricMatcher,,427,477
isAsymmetricMatcher,,483,486
buildErrorWithCause,,92,99
checkForCommonEnvironmentErrors,,97,109
warnAboutWrongTestEnvironment,,111,119
getStackTraceLines,,312,318
getTopFrame,,320,337
formatStackTrace,,339,381
isErrorOrStackWithCause,,392,402
formatErrorStack,,404,436
failureDetailsToErrorOrStack,,438,457
someFunction,,74,76
someAsyncFunction,,91,93
testFunction1,,55,57
testFunction,,59,61
x,,27,27
functionFooMock,,89,89
asyncFunctionFooMock,,96,96
foo,,126,126
getMockFnWithOriginalName,,134,139
mockConstructor,,150,150
exampleDispatch,"/**
 * Copyright (c) Meta Platforms, Inc. and affiliates.
 *
 * This source code is licensed under the MIT license found in the
 * LICENSE file in the root directory of this source tree.
 *
 * @jest-environment jsdom
 */,/// <reference lib=""dom"" />,/* eslint-env browser*/",13,15
matchArity,,300,413
getObjectType,,415,417
getType,,419,454
isReadonlyProp,,456,483
withImplementation,,806,806
withImplementation,,807,810
withImplementation,,811,834
summarize,,11,38
PhabricatorProcessor,,40,44
run,,19,28
run,,27,150
check,,225,255
combineCoverage,,332,350
worker,,43,58
loadNotifier,,157,169
formatTestPath,,13,19
generateEmptyCoverage,,26,92
getResultHeader,,28,59
getSnapshotStatus,,18,73
getSnapshotSummary,,24,137
getValuesCurrentTestCases,,14,51
renderTime,,53,79
getSummary,,81,197
getWatermarks,,10,35
printDisplayName,,10,20
relativePath,,10,24
trimAndFormatPath,,13,50
wrapAnsiString,"/**
 * Copyright (c) Meta Platforms, Inc. and affiliates.
 *
 * This source code is licensed under the MIT license found in the
 * LICENSE file in the root directory of this source tree.
 */,// word-wrap a string that contains ANSI escape sequences.,// ANSI escape sequences do not add to the string length.",9,71
customSyncResolver,// ResolverOptions,47,49
customAsyncResolver,,52,57
readPackageSync,"/*
 * helper functions
 */",126,128
getPathInModule,,130,234
createResolveOptions,,236,243
clearFsCache,,12,16
statSyncCached,,24,51
realpathCached,,54,71
readPackageCached,,74,86
findClosestPackageJson,"// adapted from,// https://github.com/lukeed/escalade/blob/2477005062cdbd8407afc90d3f48f4930354252b/src/sync.js,// to use cached `fs` calls",91,113
isFile,"/*
 * helper functions
 */",118,120
isDirectory,,122,124
realpathSync,,126,128
isBuiltinModule,,11,13
nodeModulesPaths,,17,73
findGlobalPaths,,75,86
loadResolver,,863,890
clearCachedLookups,,18,22
cachedShouldLoadAsEsm,,24,40
shouldLoadAsEsm,// this is a bad version of what https://github.com/nodejs/modules/issues/393 would provide,43,71
cachedPkgCheck,,73,93
freezeConsole,,37,66
runTestInternal,"// Keeping the core of ""runTest"" as a separate function (as ""runTestInternal""),// is key to be able to detect memory leaks. Since all variables are local to,// the function, when ""runTestInternal"" finishes its execution, they can all be,// freed, UNLESS something else is leaking them (and that's why we can detect,// the leak!).,//,// If we had all the code in a single function, we should manually nullify all,// references to verify if there is a leak, which is not maintainable and error,// prone. That's why ""runTestInternal"" CANNOT be inlined inside ""runTest"".",77,382
runTest,,384,412
setup,,72,85
worker,,91,115
evaluateSyntheticModule,,2572,2580
saveInlineSnapshots,,33,100
createSnapshotResolver,,49,56
createDefaultSnapshotResolver,,58,79
createCustomSnapshotResolver,,81,111
mustImplement,,113,117
verifyConsistentTransformations,,119,131
stripAddedIndentation,,71,111
isObject,,24,26
getInferredParser,,12,16
getPosition,,21,30
getCallsite,,51,69
formatTestResults,,70,80
waitForPromiseWithCleanup,,66,75
isTransformerFactory,// type predicate,78,82
createTranspilingRequire,// TODO: do we need to define the generics twice?,848,879
writeCodeCacheFile,"/**
 * This is like `writeCacheFile` but with an additional sanity checksum. We
 * cannot use the same technique for source maps because we expose source map
 * cache file paths directly to callsites, with the expectation they can read
 * it right away. This is not a great system, because source map cache file
 * could get corrupted, out-of-sync, etc.
 */",904,907
readCodeCacheFile,"/**
 * Read counterpart of `writeCodeCacheFile`. We verify that the content of the
 * file matches the checksum, in case some kind of corruption happened. This
 * could happen if an older version of `jest-runtime` writes non-atomically to
 * the same cache, for example.
 */",915,926
assertSyncTransformer,,1028,1037
createScriptTransformer,,1041,1050
getTransformOptions,,2076,2084
getCoverageOptions,,2086,2100
mockInvariant,,2102,2106
handlePotentialSyntaxError,,15,31
enhanceUnexpectedTokenMessage,,33,69
shouldInstrument,,32,123
someFunction,,306,308
requireCreateProcessObject,,11,17
DTRACE_NET_SERVER_CONNECTION,,10,10
getGlobal,,18,20
asyncFn,,32,32
clearLine,,9,13
convertDescriptorToString,,9,30
createDirectory,,9,17
createProcessEnv,"// The ""process.env"" object has a bunch of particularities: first, it does not,// directly extend from Object; second, it converts any assigned value to a,// string; and third, it is case-insensitive in Windows. We use a proxy here to,// mimic it (see https://nodejs.org/api/process.html#process_process_env).",19,80
deletePropertyWin32,,23,41
deleteProperty,,43,48
getProperty,,50,52
getPropertyWin32,,54,60
createProcessObject,,82,120
deepCyclicCopy,,14,29
deepCyclicCopyObject,,31,63
deepCyclicCopyArray,,65,86
formatTime,"/**
 * Copyright (c) Meta Platforms, Inc. and affiliates.
 *
 * This source code is licensed under the MIT license found in the
 * LICENSE file in the root directory of this source tree.
 */",7,21
globsToMatcher,"/**
 * Converts a list of globs into a function that matches a path against the
 * globs.
 *
 * Every time picomatch is called, it will parse the glob strings and turn
 * them into regexp instances. Instead of calling picomatch repeatedly with
 * the same globs, we can use this function which will build the picomatch
 * matchers ahead of time and then have an optimized path for determining
 * whether an individual path matches.
 *
 * This function is intended to match the behavior of `micromatch()`.
 *
 * @example
 * const isMatch = globsToMatcher(['*.js', '!*.test.js']);
 * isMatch('pizza.js'); // true
 * isMatch('pizza.test.js'); // false
 */",36,94
installCommonGlobals,,14,65
interopRequireDefault,"/**
 * Copyright (c) Meta Platforms, Inc. and affiliates.
 *
 * This source code is licensed under the MIT license found in the
 * LICENSE file in the root directory of this source tree.
 */,// copied from https://github.com/babel/babel/blob/56044c7851d583d498f919e9546caddf8f80a72f/packages/babel-helpers/src/helpers.js#L558-L562,// eslint-disable-next-line @typescript-eslint/explicit-module-boundary-types",9,11
invariant,"/**
 * Copyright (c) Meta Platforms, Inc. and affiliates.
 *
 * This source code is licensed under the MIT license found in the
 * LICENSE file in the root directory of this source tree.
 */",7,14
checkIsInteractive,,9,24
isNonNullable,"/**
 * Copyright (c) Meta Platforms, Inc. and affiliates.
 *
 * This source code is licensed under the MIT license found in the
 * LICENSE file in the root directory of this source tree.
 */",7,9
isPromise,"/**
 * Copyright (c) Meta Platforms, Inc. and affiliates.
 *
 * This source code is licensed under the MIT license found in the
 * LICENSE file in the root directory of this source tree.
 */",7,15
pluralize,"/**
 * Copyright (c) Meta Platforms, Inc. and affiliates.
 *
 * This source code is licensed under the MIT license found in the
 * LICENSE file in the root directory of this source tree.
 */",7,13
print,,12,16
remove,,18,22
replacePathSepForGlob,"/**
 * Copyright (c) Meta Platforms, Inc. and affiliates.
 *
 * This source code is licensed under the MIT license found in the
 * LICENSE file in the root directory of this source tree.
 */",7,9
requireOrImportModule,,11,59
setGlobal,,9,16
tryRealpath,,9,19
validationConditionSingle,,11,21
getValues,,23,32
validationCondition,,34,39
multipleValidOptions,,41,49
formatExamples,,39,49
validateCLIOptions,,75,124
colorize,,9,19
formatTestNameByPattern,,13,60
printPatternCaret,,11,20
printRestoredPatternCaret,,22,33
scroll,,9,32
runTest,"/**
 * Copyright (c) Meta Platforms, Inc. and affiliates.
 *
 * This source code is licensed under the MIT license found in the
 * LICENSE file in the root directory of this source tree.
 */",7,7
runTestAsync,,8,8
doSomething,,10,10
doSomethingAsync,,11,11
getResult,,13,15
end,// reserved keys should be excluded from returned type,20,20
getStderr,,21,23
getStdout,,24,26
setup,,27,27
teardown,,28,28
workerReplyStart,,27,31
workerReplyEnd,,33,35
workerReply,,37,40
workerReplyCustomMessage,,42,44
createQueueChildMessage,,86,95
createQueueChildMessage,,125,134
replySuccess,,23,25
assertCallsToChild,,27,42
replySuccess,,15,17
assertCallsToChild,,19,34
getExposedMethods,,39,59
getNumberOfCpus,,61,65
closeWorkerAfter,,68,78
waitForChange,,98,119
messageParent,,10,21
reportSuccess,,94,100
reportClientError,,102,104
reportInitializeError,,106,108
reportMemoryUsage,,110,121
reportError,,123,139
end,,141,151
exitProcess,,153,156
execMethod,,158,182
execHelper,,169,171
execFunction,,184,206
reportMemoryUsage,,96,107
reportSuccess,,109,122
reportClientError,,124,126
reportInitializeError,,128,130
reportError,,132,148
end,,150,160
exitProcess,,162,165
execMethod,,167,191
execHelper,,178,180
execFunction,,193,215
fnNameFor,,13,20
returnArguments,,875,877
returnIterator,,965,977
returnArguments,,11,13
MyObject,,17,20
f,,126,128
printIteratorEntries,"/**
 * Return entries (for example, of a map)
 * with spacing, indentation, and comma
 * without surrounding punctuation (for example, braces)
 */",34,93
printIteratorValues,"/**
 * Return values (for example, of a set)
 * with spacing, indentation, and comma
 * without surrounding punctuation (braces or brackets)
 */",100,140
printListItems,"/**
 * Return items (for example, of an array)
 * with spacing, indentation, and comma
 * without surrounding punctuation (for example, brackets)
 **/",147,194
printObjectProperties,"/**
 * Return properties of an object
 * with spacing, indentation, and comma
 * without surrounding punctuation (for example, braces)
 */",201,235
isToStringedArrayType,,78,93
printNumber,,95,97
printBigInt,,99,101
printFunction,,103,108
printSymbol,,110,112
printError,,114,116
printBasicValue,"/**
 * The first port of call for printing an object, handles most of the
 * data-types in JS.
 */",122,195
printComplexValue,"/**
 * Handles more complex objects ( such as objects with circular references.
 * maps and sets etc )
 */",201,296
isNewPlugin,,298,300
printPlugin,,302,341
findPlugin,,343,355
printer,,357,388
validateOptions,,421,445
createIndent,,505,507
format,"/**
 * Returns a presentation string of your `val` object
 * @param val any potential JavaScript object
 * @param options Custom settings
 */",514,536
nodeIsText,,53,55
nodeIsComment,,57,59
nodeIsFragment,,61,63
getRecordEntries,"// Record has an entries method because it is a collection in immutable v3.,// Return an iterator for Immutable Record from version v3 or v4.",48,59
escapeHTML,"/**
 * Copyright (c) Meta Platforms, Inc. and affiliates.
 *
 * This source code is licensed under the MIT license found in the
 * LICENSE file in the root directory of this source tree.
 */",7,9
isJestJasmineRun,,12,14
skipSuiteOnJasmine,,16,22
skipSuiteOnJestCircus,,24,30
onNodeVersions,,32,46
normalizeIcons,"/**
 * Copyright (c) Meta Platforms, Inc. and affiliates.
 *
 * This source code is licensed under the MIT license found in the
 * LICENSE file in the root directory of this source tree.
 */",7,16
